mã chứng khoán,Năm,Kỳ,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,symbol,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,Thu nhập/Chi phí khác,Lợi nhuận khác,Cổ đông thiểu số,"Lãi lỗ trong công ty liên doanh, liên kết"
ACB,2025,2,14298695000000,0.1462144377,4881159000000,0.09232643854,14298695000000,-7614847000000,6683848000000,1102158000000,-517427000000,584731000000,670005000000,36590000000,446091000000,1163413000000,-350690000000,812723000000,58556000000,9292544000000,-2736160000000,6556384000000,-463039000000,6093345000000,-1212186000000,-1210700000000,-1486000000,4881159000000,4881159000000,0,ACB,,,,,,,,,,,,,,,,
ACB,2025,1,13327306000000,0.111758206,3678266000000,-0.05816354148,13327306000000,-6968441000000,6358865000000,1394280000000,-521967000000,872313000000,475590000000,23799000000,-1495000000,284468000000,-102083000000,182385000000,3171000000,7914628000000,-2691892000000,5222736000000,-626128000000,4596608000000,-918342000000,-958551000000,40209000000,3678266000000,3678266000000,0,ACB,,,,,,,,,,,,,,,,
ACB,2024,4,13518376000000,0.0801725767,4545364000000,0.1345600244,13518376000000,-6438085000000,7080291000000,1435715000000,-566890000000,868825000000,344167000000,-26090000000,213050000000,419472000000,-346882000000,72590000000,5463000000,8558296000000,-2739350000000,5818946000000,-147675000000,5671271000000,-1125907000000,-1086127000000,-39780000000,4545364000000,4545364000000,1017,ACB,,,,,,,,,,,,,,,,
ACB,2024,3,12922067000000,-0.007819313793,3870395000000,-0.04140699167,12922067000000,-6040680000000,6881387000000,1325822000000,-578633000000,747189000000,166635000000,71287000000,47199000000,259065000000,-56305000000,202760000000,19544000000,8136001000000,-2933714000000,5202287000000,-358243000000,4844044000000,-973649000000,-971306000000,-2343000000,3870395000000,3870395000000,0,ACB,,,,,,,,,,,,,,,,
ACB,2024,2,12474712000000,-0.08163412092,4468590000000,0.1559151606,12474712000000,-5363206000000,7111506000000,1421150000000,-543581000000,877569000000,426650000000,-41231000000,-14005000000,415272000000,-129401000000,285871000000,5651000000,8652011000000,-2465618000000,6186393000000,-588150000000,5598243000000,-1129653000000,-1075344000000,-54309000000,4468590000000,4468590000000,779,ACB,,,,,,,,,,,,,,,,
ACB,2024,1,11987594000000,-0.09351625143,3905419000000,-0.05552802653,11987594000000,-5266076000000,6721518000000,1282271000000,-537069000000,745202000000,233300000000,196391000000,204068000000,172323000000,-109907000000,62416000000,5556000000,8168451000000,-2763921000000,5404530000000,-512217000000,4892313000000,-986894000000,-1066922000000,80028000000,3905419000000,3905419000000,1006,ACB,,,,,,,,,,,,,,,,
ACB,2023,4,12515015000000,0.05120208994,4006279000000,0.3956641275,12515015000000,-6225399000000,6289616000000,1305933000000,-578635000000,727298000000,28950000000,-13925000000,1358428000000,216906000000,-230699000000,-13793000000,1889000000,8378463000000,-3013248000000,5365215000000,-321641000000,5043574000000,-1037295000000,-975257000000,-62038000000,4006279000000,4006279000000,1031,ACB,,,,,,,,,,,,,,,,
ACB,2023,3,13023905000000,0.2620009178,4037579000000,0.1256169515,13023905000000,-6814777000000,6209128000000,1301774000000,-538187000000,763587000000,315762000000,67760000000,881942000000,202751000000,-55714000000,147037000000,39166000000,8424382000000,-2868218000000,5556164000000,-520683000000,5035481000000,-997902000000,-996856000000,-1046000000,4037579000000,4037579000000,1040,ACB,,,,,,,,,,,,,,,,
ACB,2023,2,13583597000000,0.4420699881,3865846000000,-0.01960413355,13583597000000,-7337925000000,6245672000000,1262569000000,-458183000000,804386000000,327437000000,71566000000,407802000000,200858000000,-37975000000,162883000000,3774000000,8023520000000,-2485180000000,5538340000000,-705893000000,4832447000000,-966601000000,-911557000000,-55044000000,3865846000000,3865846000000,797,ACB,,,,,,,,,,,,,,,,
ACB,2023,1,13224279000000,0.4606257341,4135029000000,0.2577901072,13224279000000,-7009125000000,6215154000000,1075475000000,-448409000000,627066000000,437956000000,42982000000,-1032000000,576702000000,-9458000000,567244000000,30781000000,7920151000000,-2507640000000,5412511000000,-256014000000,5156497000000,-1021468000000,-1109352000000,87884000000,4135029000000,4135029000000,1224,ACB,,,,,,,,,,,,,,,,
ACB,2022,4,11905432000000,0.4080880101,2870518000000,0.1820151987,11905432000000,-5451215000000,6454217000000,1392840000000,-465807000000,927033000000,503889000000,-110032000000,-2708000000,163883000000,-23306000000,140577000000,13020000000,7925996000000,-4064328000000,3861668000000,-250585000000,3611083000000,-740565000000,-692817000000,-47748000000,2870518000000,2870518000000,849,ACB,,,,,,,,,,,,,,,,
ACB,2022,3,10320044000000,0.2448016184,3586992000000,0.7059670934,10320044000000,-4287794000000,6032250000000,1296877000000,-430092000000,866785000000,95844000000,-39964000000,-1502000000,104791000000,19046000000,123837000000,13711000000,7090961000000,-2525765000000,4565196000000,-90436000000,4474760000000,-887768000000,-866236000000,-21532000000,3586992000000,3586992000000,1063,ACB,,,,,,,,,,,,,,,,
