mã chứng khoán,năm báo cáo,kỳ báo cáo,lợi nhuận từ các hoạt động khác,lợi nhuận hoạt động trước thay đổi vốn lưu động,luồng tiền từ hoạt động kinh doanh trước thuế TNDN,chi từ quỹ dự phòng,chi mua tài sản cố định,lãi từ cổ tức,luồng tiền thuần từ hoạt động đầu tư,tăng vốn điều lệ,luồng tiền thuần từ hoạt động tài chính,tăng/giảm thuần tiền và tương đương tiền,tiền và tương đương tiền đầu kỳ,điều chỉnh chênh lệch tỷ giá,tiền và tương đương tiền cuối kỳ,luồng tiền thuần từ hoạt động kinh doanh,thu từ thanh lý tài sản cố định,đầu tư vào các đơn vị khác,thu từ thoái vốn ở các đơn vị khác,chi trả cổ tức,khấu hao và phân bổ,"cho vay, mua công cụ nợ","thu hồi khoản cho vay, bán công cụ nợ",chi mua lại cổ phiếu,thu từ vay nợ,trả nợ gốc vay,thanh toán gốc thuê tài chính,lợi nhuận/lỗ trước thuế,dự phòng rủi ro tín dụng,lãi/lỗ tỷ giá chưa thực hiện,lãi/lỗ từ hoạt động đầu tư,chi phí lãi vay,tăng/giảm khoản phải thu,tăng/giảm hàng tồn kho,tăng/giảm khoản phải trả,tăng/giảm chi phí trả trước,lãi vay đã trả,thuế TNDN đã nộp,các khoản thu khác từ hoạt động kinh doanh,các khoản chi khác từ hoạt động kinh doanh,thu nhập từ lãi và cổ tức,lãi/lỗ từ thanh lý tài sản cố định,tăng/giảm khoản phải thu (dự phòng),tăng/giảm khoản phải trả (dự phòng),cổ tức đã nhận
ACB,2025,2,283063000000,6391359000000,-5482010000000,-8587000000,-101468000000,59787000000,-46534000000,0,-4466658000000,-10003789000000,135272610000000,-178449000000,125090372000000,-5490597000000,71097000000,0,0,-4466658000000,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2025,1,118371000000,2203592000000,-4295847000000,-13847000000,-180662000000,2856000000,-176937000000,0,0,-4486631000000,139824608000000,-65367000000,135272610000000,-4309694000000,869000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2024,4,-167523000000,3704555000000,37520087000000,-523000000,-418950000000,13162000000,-338494000000,0,0,37181070000000,102581485000000,62053000000,139824608000000,37519564000000,67294000000,-3507000000,3507000000,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2024,3,10399000000,5587994000000,-16528423000000,-480000000,-118764000000,10063000000,-104419000000,0,0,-16633322000000,119023619000000,191188000000,102581485000000,-16528903000000,775000000,3507000000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2024,2,106418000000,6515731000000,-3149944000000,-96000000,-347301000000,6746000000,-260913000000,0,-3884051000000,-7295004000000,126501216000000,-182593000000,119023619000000,-3150040000000,79642000000,0,0,-3884051000000,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2024,1,-113383000000,901606000000,-9470240000000,-150000000,-34725000000,5087000000,-29484000000,0,0,-9499874000000,136071738000000,-70648000000,126501216000000,-9470390000000,154000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2023,4,-123976000000,4366643000000,24000778000000,-783000000,-778517000000,5840000000,-771106000000,0,0,23228889000000,112718456000000,124393000000,136071738000000,23999995000000,1571000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2023,3,48709000000,5957868000000,5154308000000,-184000000,-144086000000,36910000000,-106709000000,0,0,5047415000000,107750512000000,-79471000000,112718456000000,5154124000000,467000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2023,2,23798000000,5441896000000,14418845000000,-233000000,-213810000000,1154000000,-211517000000,0,-3377435000000,10829660000000,96922247000000,-1395000000,107750512000000,14418612000000,1139000000,0,0,-3377435000000,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2023,1,33126000000,3655575000000,-6426336000000,-300000000,-149733000000,31051000000,-117821000000,0,0,-6544457000000,103510231000000,-43527000000,96922247000000,-6426636000000,861000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2022,4,32474000000,3998583000000,31167553000000,-200656000000,-207854000000,15522000000,-184588000000,0,0,30782309000000,72894066000000,-166147000000,103510228000000,30966897000000,1793000000,0,5951000000,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2022,3,37497000000,5104535000000,2913363000000,-251000000,-177344000000,13071000000,-77882000000,0,0,2835230000000,69977128000000,81708000000,72894066000000,2913112000000,1027000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2022,2,48809000000,3717164000000,-4100834000000,-157000000,-42821000000,28499000000,-12804000000,0,0,-4113795000000,74021373000000,69550000000,69977128000000,-4100991000000,1018000000,0,500000000,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2022,1,33269000000,3593628000000,-8504080000000,-399000000,-83494000000,2507000000,-90604000000,0,0,-8595083000000,82601567000000,14889000000,74021373000000,-8504479000000,903000000,-10520000000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2021,4,16989000000,2051001000000,23630638000000,-258000000,-263261000000,5724000000,-256924000000,0,-2884000000000,20489456000000,62123133000000,-11022000000,82601567000000,23630380000000,613000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2021,3,-9741000000,3356786000000,12722291000000,-275000000,-50349000000,9939000000,-40410000000,0,0,12681606000000,49440951000000,576000000,62123133000000,12722016000000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2021,2,-93442000000,4062063000000,2310412000000,-380000000,-229438000000,2822000000,-224730000000,0,0,2085302000000,47342974000000,12675000000,49440951000000,2310032000000,1886000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2021,1,-8770000000,2856723000000,1264041000000,-570000000,-93052000000,3494000000,59661000000,0,0,1323132000000,46022071000000,-2229000000,47342974000000,1263471000000,766000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ACB,2020,4,1450000000,1105400000000,9309345000000,-630000000,-217839000000,11490000000,-198918000000,0,-170000000000,8939797000000,37102622000000,-20348000000,46022071000000,9308715000000,711000000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
