mã sự kiện,tiêu đề sự kiện,tiêu đề sự kiện (tiếng Anh),ngày công bố,ngày thực hiện,liên kết nguồn,mã loại sự kiện,tỷ lệ,giá trị,ngày chốt quyền,ngày không hưởng quyền,tên loại sự kiện,tên loại sự kiện (tiếng Anh),mã chứng khoán
40234158,"ACB - Niêm yết bổ sung 582,607,554 cổ phiếu","ACB- Lists additional 582,607,554 shares",2024-06-28,2024-06-27T00:00:00,http://fiinpro.com/News/Detail/11231512?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,ACB
23057391,ACB - Trả cổ tức Cả năm năm 2022 bằng tiền 1000 đồng/cổ phiếu,ACB - Pay cash dividend 2022 - Year at VND 1000/share,2023-05-25,2023-06-12T00:00:00,http://fiinpro.com/News/Detail/10793461?lang=vi-vn,DIV,0.1,1000,2023-06-02T00:00:00,2023-06-01,Trả cổ tức bằng tiền mặt,Cash Dividend,ACB
38768795,ACB - Trả cổ tức Cả năm năm 2023 bằng tiền 1000 đồng/cổ phiếu,ACB - Pay cash dividend 2023 - Year at VND 1000/share,2024-05-24,2024-06-13T00:00:00,http://fiinpro.com/News/Detail/11196089?lang=vi-vn,DIV,0.1,1000,2024-06-03T00:00:00,2024-05-31,Trả cổ tức bằng tiền mặt,Cash Dividend,ACB
56347802,ACB - Trả cổ tức Cả năm năm 2024 bằng tiền 1000 đồng/cổ phiếu,ACB - Pay cash dividend 2024 - Year at VND 1000/share,2025-05-16,2025-06-05T00:00:00,http://fiinpro.com/News/Detail/11586001?lang=vi-vn,DIV,0.1,1000,2025-05-26T00:00:00,2025-05-23,Trả cổ tức bằng tiền mặt,Cash Dividend,ACB
24881283,"ACB - Niêm yết bổ sung 506,615,264 cổ phiếu","ACB- Lists additional 506,615,264 shares",2023-07-12,2023-07-06T00:00:00,http://fiinpro.com/News/Detail/10853128?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,ACB
38771599,ACB - Phát hành cổ phiếu trả cổ tức tỷ lệ 15%,ACB - Issues dividend shares at 15%,2024-05-24,2024-05-31T00:00:00,http://fiinpro.com/News/Detail/11196089?lang=vi-vn,ISS,0.15,0,2024-06-03T00:00:00,2024-05-31,Phát hành cổ phiếu,Share Issue,ACB
56350780,ACB - Phát hành cổ phiếu trả cổ tức tỷ lệ 15%,ACB - Issues dividend shares at 15%,2025-05-16,2025-05-23T00:00:00,http://fiinpro.com/News/Detail/11586001?lang=vi-vn,ISS,0.15,0,2025-05-26T00:00:00,2025-05-23,Phát hành cổ phiếu,Share Issue,ACB
23059999,ACB - Phát hành cổ phiếu trả cổ tức tỷ lệ 15%,ACB - Issues dividend shares at 15%,2023-05-25,2023-06-01T00:00:00,http://fiinpro.com/News/Detail/10793461?lang=vi-vn,ISS,0.15,0,2023-06-02T00:00:00,2023-06-01,Phát hành cổ phiếu,Share Issue,ACB
58604768,ACB - Niêm yết bổ sung 669.998.687 cổ phiếu,"ACB- Lists additional 669,998,687 shares",2025-06-27,2025-06-26T00:00:00,http://fiinpro.com/News/Detail/11613539?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,ACB
45137441,ANV - Phát hành cổ phiếu thưởng tỷ lệ 100%,ANV - Issues bonus shares at 100%,2024-10-04,2024-11-07T00:00:00,http://fiinpro.com/News/Detail/11338494?lang=vi-vn,ISS,1,0,2024-11-08T00:00:00,2024-11-07,Phát hành cổ phiếu,Share Issue,ANV
15161275,ANV - Trả cổ tức Cả năm năm 2021 bằng tiền 1000 đồng/cổ phiếu,ANV - Pay cash dividend 2021 - Year at VND 1000/share,2022-10-05,2023-04-27T00:00:00,http://fiinpro.com/News/Detail/10537606?lang=vi-vn,DIV,0.1,1000,2022-11-01T00:00:00,2022-10-31,Trả cổ tức bằng tiền mặt,Cash Dividend,ANV
18376180,ANV - Trả cổ tức Cả năm năm 2021 bằng tiền 1000 đồng/cổ phiếu,ANV - Pay cash dividend 2021 - Year at VND 1000/share,2022-10-05,2023-03-31T00:00:00,http://fiinpro.com/News/Detail/10537606?lang=vi-vn,DIV,0.1,1000,2022-11-01T00:00:00,2022-10-31,Trả cổ tức bằng tiền mặt,Cash Dividend,ANV
28554302,ANV - Trả cổ tức Cả năm năm 2022 bằng tiền 1000 đồng/cổ phiếu,ANV - Pay cash dividend 2022 - Year at VND 1000/share,2023-10-04,2023-12-25T00:00:00,http://fiinpro.com/News/Detail/10946408?lang=vi-vn,DIV,0.1,1000,2023-10-31T00:00:00,2023-10-30,Trả cổ tức bằng tiền mặt,Cash Dividend,ANV
44004655,ANV - Trả cổ tức Cả năm năm 2023 bằng tiền 500 đồng/cổ phiếu,ANV - Pay cash dividend 2023 - Year at VND 500/share,2024-09-13,2024-12-27T00:00:00,http://fiinpro.com/News/Detail/11318490?lang=vi-vn,DIV,0.05,500,2024-10-14T00:00:00,2024-10-11,Trả cổ tức bằng tiền mặt,Cash Dividend,ANV
49690694,ANV - Niêm yết bổ sung 133.127.875 cổ phiếu,"ANV- Lists additional 133,127,875 shares",2025-01-07,2025-01-03T00:00:00,http://fiinpro.com/News/Detail/11427848?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,ANV
21344778,"ANV - Niêm yết bổ sung 6,000,000 cổ phiếu","ANV- Lists additional 6,000,000 shares",2023-04-14,2023-04-14T00:00:00,http://fiinpro.com/News/Detail/10753239?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,ANV
30258059,BCM - Trả cổ tức Cả năm năm 2022 bằng tiền 800 đồng/cổ phiếu,BCM - Pay cash dividend 2022 - Year at VND 800/share,2023-11-14,2023-12-29T00:00:00,http://fiinpro.com/News/Detail/10985907?lang=vi-vn,DIV,0.08,800,2023-11-29T00:00:00,2023-11-28,Trả cổ tức bằng tiền mặt,Cash Dividend,BCM
45874490,BCM - Trả cổ tức Cả năm năm 2023 bằng tiền 1000 đồng/cổ phiếu,BCM - Pay cash dividend 2023 - Year at VND 1000/share,2024-10-21,2024-12-27T00:00:00,http://fiinpro.com/News/Detail/11353704?lang=vi-vn,DIV,0.1,1000,2024-11-05T00:00:00,2024-11-04,Trả cổ tức bằng tiền mặt,Cash Dividend,BCM
48657188,BID - Phát hành cổ phiếu trả cổ tức tỷ lệ 21%,BID - Issues dividend shares at 21%,2024-12-17,2024-12-23T00:00:00,http://fiinpro.com/News/Detail/11408971?lang=vi-vn,ISS,0.21,0,2024-12-24T00:00:00,2024-12-23,Phát hành cổ phiếu,Share Issue,BID
56078378,BID - Niêm yết bổ sung 123.846.649 cổ phiếu,"BID- Lists additional 123,846,649 shares",2025-05-14,2025-05-07T00:00:00,http://fiinpro.com/News/Detail/11571586?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,BID
18977,BID - Niêm yết bổ sung 603.302.706 cổ phiếu,"BID - Lists 603,302,706 additional shares",2019-12-10,2024-11-06T00:00:00,http://fiinpro.com/News/Detail/4139517?lang=vi-VN,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,BID
32565122,"BID - Niêm yết bổ sung 641,912,084 cổ phiếu","BID- Lists additional 641,912,084 shares",2024-01-04,2023-12-29T00:00:00,http://fiinpro.com/News/Detail/11039065?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,BID
50342437,BID - Niêm yết bổ sung 1.197.079.368 cổ phiếu,"BID- Lists additional 1,197,079,368 shares",2025-01-17,2025-01-20T00:00:00,http://fiinpro.com/News/Detail/11437856?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,BID
30580597,"BID - Phát hành cổ phiếu trả cổ tức tỷ lệ 12,69%",BID - Issues dividend shares at 12.69%,2023-11-21,2023-11-28T00:00:00,http://fiinpro.com/News/Detail/10991471?lang=vi-vn,ISS,0.1269,0,2023-11-29T00:00:00,2023-11-28,Phát hành cổ phiếu,Share Issue,BID
22495091,BMP - Trả cổ tức Đợt 2 năm 2022 bằng tiền 5300 đồng/cổ phiếu,BMP - Pay cash dividend 2022 - Interim 2 at VND 5300/share,2023-05-12,2023-06-12T00:00:00,http://fiinpro.com/News/Detail/10781039?lang=vi-vn,DIV,0.53,5300,2023-05-22T00:00:00,2023-05-19,Trả cổ tức bằng tiền mặt,Cash Dividend,BMP
30007214,BMP - Trả cổ tức Đợt 1 năm 2023 bằng tiền 6500 đồng/cổ phiếu,BMP - Pay cash dividend 2023 - Interim 1 at VND 6500/share,2023-11-06,2023-12-12T00:00:00,http://fiinpro.com/News/Detail/10978554?lang=vi-vn,DIV,0.65,6500,2023-11-21T00:00:00,2023-11-20,Trả cổ tức bằng tiền mặt,Cash Dividend,BMP
37870166,BMP - Trả cổ tức Đợt 2 năm 2023 bằng tiền 6100 đồng/cổ phiếu,BMP - Pay cash dividend 2023 - Interim 2 at VND 6100/share,2024-05-08,2024-06-10T00:00:00,http://fiinpro.com/News/Detail/11177581?lang=vi-vn,DIV,0.61,6100,2024-05-20T00:00:00,2024-05-17,Trả cổ tức bằng tiền mặt,Cash Dividend,BMP
46022691,BMP - Trả cổ tức Đợt 1 năm 2024 bằng tiền 5740 đồng/cổ phiếu,BMP - Pay cash dividend 2024 - Interim 1 at VND 5740/share,2024-10-25,2024-12-05T00:00:00,http://fiinpro.com/News/Detail/11359618?lang=vi-vn,DIV,0.574,5740,2024-11-14T00:00:00,2024-11-13,Trả cổ tức bằng tiền mặt,Cash Dividend,BMP
55938728,BMP - Trả cổ tức Đợt 2 năm 2024 bằng tiền 6250 đồng/cổ phiếu,BMP - Pay cash dividend 2024 - Interim 2 at VND 6250/share,2025-05-09,2025-06-05T00:00:00,http://fiinpro.com/News/Detail/11568510?lang=vi-vn,DIV,0.625,6250,2025-05-20T00:00:00,2025-05-19,Trả cổ tức bằng tiền mặt,Cash Dividend,BMP
56915613,BSI - Phát hành cổ phiếu trả cổ tức tỷ lệ 10%,BSI - Issues dividend shares at 10%,2025-05-30,2025-06-11T00:00:00,http://fiinpro.com/News/Detail/11591372?lang=vi-vn,ISS,0.1,0,2025-06-12T00:00:00,2025-06-11,Phát hành cổ phiếu,Share Issue,BSI
26431595,"BSI - Niêm yết bổ sung 14,983,007 cổ phiếu","BSI- Lists additional 14,983,007 shares",2023-08-16,2023-08-11T00:00:00,http://fiinpro.com/News/Detail/10898670?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,BSI
23950016,BSI - Trả cổ tức Cả năm năm 2022 bằng tiền 500 đồng/cổ phiếu,BSI - Pay cash dividend 2022 - Year at VND 500/share,2023-06-15,2023-08-04T00:00:00,http://fiinpro.com/News/Detail/10815570?lang=vi-vn,DIV,0.05,500,2023-07-06T00:00:00,2023-07-05,Trả cổ tức bằng tiền mặt,Cash Dividend,BSI
23952550,BSI - Phát hành cổ phiếu trả cổ tức tỷ lệ 5%,BSI - Issues dividend shares at 5%,2023-06-15,2023-07-05T00:00:00,http://fiinpro.com/News/Detail/10815570?lang=vi-vn,ISS,0.05,0,2023-07-06T00:00:00,2023-07-05,Phát hành cổ phiếu,Share Issue,BSI
40105971,BSI - Phát hành cổ phiếu trả cổ tức tỷ lệ 10%,BSI - Issues dividend shares at 10%,2024-06-21,2024-07-09T00:00:00,http://fiinpro.com/News/Detail/11224359?lang=vi-vn,ISS,0.1,0,2024-07-10T00:00:00,2024-07-09,Phát hành cổ phiếu,Share Issue,BSI
59463468,BSI - Niêm yết bổ sung 22.305.242 cổ phiếu,"BSI- Lists additional 22,305,242 shares",2025-07-17,2025-07-16T00:00:00,http://fiinpro.com/News/Detail/11636050?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,BSI
42381925,"BSI - Niêm yết bổ sung 20,277,574 cổ phiếu","BSI- Lists additional 20,277,574 shares",2024-08-09,2024-08-09T00:00:00,http://fiinpro.com/News/Detail/11286432?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,BSI
30623697,BVH - Trả cổ tức Cả năm năm 2022 bằng tiền 954 đồng/cổ phiếu,BVH - Pay cash dividend 2022 - Year at VND 954/share,2023-11-21,2023-12-28T00:00:00,http://fiinpro.com/News/Detail/10991875?lang=vi-vn,DIV,0.0954,954,2023-11-28T00:00:00,2023-11-27,Trả cổ tức bằng tiền mặt,Cash Dividend,BVH
47012563,"BVH - Trả cổ tức Cả năm năm 2023 bằng tiền 1003,7 đồng/cổ phiếu",BVH - Pay cash dividend 2023 - Year at VND 1003.7/share,2024-11-13,2024-12-20T00:00:00,http://fiinpro.com/News/Detail/11378763?lang=vi-vn,DIV,0.10037,1003,2024-11-20T00:00:00,2024-11-19,Trả cổ tức bằng tiền mặt,Cash Dividend,BVH
40090355,"BWE - Niêm yết bổ sung 27,008,644 cổ phiếu","BWE- Lists additional 27,008,644 shares",2024-06-24,2024-06-20T00:00:00,https://www.hsx.vn/Modules/Cms/Web/DownloadFile/a24eb454-f6e4-4367-85f2-184caf6ba045?ridx=644070211,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,BWE
17699493,BWE - Trả cổ tức Đợt 1 năm 2022 bằng tiền 1300 đồng/cổ phiếu,BWE - Pay cash dividend 2022 - Interim 1 at VND 1300/share,2023-01-13,2023-04-26T00:00:00,http://fiinpro.com/News/Detail/10661260?lang=vi-vn,DIV,0.13,1300,2023-01-31T00:00:00,2023-01-30,Trả cổ tức bằng tiền mặt,Cash Dividend,BWE
50205331,BWE - Trả cổ tức Đợt 1 năm 2024 bằng tiền 1300 đồng/cổ phiếu,BWE - Pay cash dividend 2024 - Interim 1 at VND 1300/share,2025-01-16,2025-06-24T00:00:00,http://fiinpro.com/News/Detail/11437112?lang=vi-vn,DIV,0.13,1300,2025-02-12T00:00:00,2025-02-11,Trả cổ tức bằng tiền mặt,Cash Dividend,BWE
37778649,BWE - Phát hành cổ phiếu trả cổ tức tỷ lệ 14%,BWE - Issues dividend shares at 14%,2024-05-03,2024-05-17T00:00:00,http://fiinpro.com/News/Detail/11172945?lang=vi-vn,ISS,0.14,0,2024-05-20T00:00:00,2024-05-17,Phát hành cổ phiếu,Share Issue,BWE
39517039,"CII - Niêm yết bổ sung 413,300 cổ phiếu","CII- Lists additional 413,300 shares",2024-06-12,2024-06-13T00:00:00,http://fiinpro.com/News/Detail/11214154?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CII
20745702,"CII - Niêm yết bổ sung 7,144 cổ phiếu","CII- Lists additional 7,144 shares",2023-03-31,2023-04-04T00:00:00,http://fiinpro.com/News/Detail/10736708?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CII
49440460,CII - Niêm yết bổ sung 974.300 cổ phiếu,"CII- Lists additional 974,300 shares",2025-01-02,2025-01-02T00:00:00,http://fiinpro.com/News/Detail/11424252?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CII
28712675,CII - Trả cổ tức Đợt 1 năm 2022 bằng tiền 400 đồng/cổ phiếu,CII - Pay cash dividend 2022 - Interim 1 at VND 400/share,2023-10-06,2024-01-03T00:00:00,http://fiinpro.com/News/Detail/10948859?lang=vi-vn,DIV,0.04,400,2023-10-16T00:00:00,2023-10-13,Trả cổ tức bằng tiền mặt,Cash Dividend,CII
34781331,CII - Trả cổ tức Đợt 2 năm 2022 bằng tiền 400 đồng/cổ phiếu,CII - Pay cash dividend 2022 - Interim 2 at VND 400/share,2024-03-01,2024-04-01T00:00:00,http://fiinpro.com/News/Detail/11103109?lang=vi-vn,DIV,0.04,400,2024-03-15T00:00:00,2024-03-14,Trả cổ tức bằng tiền mặt,Cash Dividend,CII
39529818,CII - Trả cổ tức Đợt 3 năm 2022 bằng tiền 400 đồng/cổ phiếu,CII - Pay cash dividend 2022 - Interim 3 at VND 400/share,2024-06-12,2024-07-03T00:00:00,http://fiinpro.com/News/Detail/11214153?lang=vi-vn,DIV,0.04,400,2024-06-19T00:00:00,2024-06-18,Trả cổ tức bằng tiền mặt,Cash Dividend,CII
49754110,CII - Trả cổ tức Đợt 1 năm 2023 bằng tiền 200 đồng/cổ phiếu,CII - Pay cash dividend 2023 - Interim 1 at VND 200/share,2024-12-20,2025-01-15T00:00:00,http://fiinpro.com/News/Detail/11411494?lang=vi-vn,DIV,0.02,200,2024-12-27T00:00:00,2024-12-26,Trả cổ tức bằng tiền mặt,Cash Dividend,CII
