mã tin tức,tiêu đề tin tức,news_sub_title,friendly_sub_title,liên kết hình ảnh,liên kết nguồn tin,ngày công bố,mã ngôn ngữ,mã định danh tin,nội dung tóm tắt,nội dung chi tiết,giá đóng cửa,giá tham chiếu,giá sàn,giá trần,tỷ lệ thay đổi giá,mã chứng khoán
8080153,ACB: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16373468562400700_ACB1.png,https://www.hsx.vn/vi/tin-tuc/acb-bao-cao-tinh-hinh-quan-tri-6-thang-dau-nam-2025/2393868,2025-07-31T16:10:40,vi,11657956,,"<p>Ngân hàng Thương mại Cổ phần Á Châu Báo cáo tình hình quản trị 6 tháng đầu năm 2025 như sau: </p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-07/2025-07-31/ACB/20250730--ACB--BC-QTCT-6TDN2025-xoa-thong-tin.pdf"" title=""Tải về"" download>20250730--ACB--BC-QTCT-6TDN2025-xoa-thong-tin.pdf</a></td></tr></table>",23000,23000,21400,24600,0,ACB
8002767,ACB: Nghị quyết HĐQT về việc bổ nhiệm lại Phó TGĐ và thông báo thay đổi nhân sự,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16373468562400700_ACB1.png,https://www.hsx.vn/vi/tin-tuc/acb-nghi-quyet-hdqt-ve-viec-bo-nhiem-lai-pho-tgd-va-thong-bao-thay-doi-nhan-su/2390648,2025-07-23T11:22:41,vi,11644782,,"<p>Ngân hàng Thương mại Cổ phần Á Châu công bố Nghị quyết HĐQT về việc bổ nhiệm lại Phó TGĐ và thông báo thay đổi nhân sự như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-07/2025-07-23/ACB/20250722--ACB--NQ-bo-nhiem-lai-PTGD.pdf"" title=""Tải về"" download>20250722--ACB--NQ-bo-nhiem-lai-PTGD.pdf</a></td></tr></table>",23000,22900,21300,24500,0.00436681,ACB
7970098,"ACB: Nghị quyết HĐQT số 3745, 3747 ngày 16/07/2025  ngày 17/07/2025",,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16373468562400700_ACB1.png,https://www.hsx.vn/vi/tin-tuc/acb-nghi-quyet-hdqt-so-3745-3747-ngay-16072025--ngay-17072025/2389246,2025-07-18T14:24:17,vi,11639053,,"<p>Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết HĐQT số 3745, 3747 ngày 16/07/2025  ngày 17/07/2025 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-07/2025-07-18/ACB/20250717--ACB--NQ-HDQT-3745--3747.pdf"" title=""Tải về"" download>20250717--ACB--NQ-HDQT-3745--3747.pdf</a></td></tr></table>",22650,22450,20900,24000,0.00890869,ACB
7862436,ACB: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ BCH Công đoàn ACB,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16373468562400700_ACB1.png,https://www.hsx.vn/vi/tin-tuc/acb-thong-bao-giao-dich-co-phieu-cua-to-chuc-co-lien-quan-den-nguoi-noi-bo-bch-cong-doan-acb/2385494,2025-07-02T17:42:00,vi,11618760,,"<p> BCH Công đoàn ACB thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ  Ngân hàng Thương mại Cổ phần Á Châu như sau:</p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-07/2025-07-02/ACB/20250701--ACB--THONG-BAO-GIAO-DICH-CP-BCH-Cong-doan.pdf"" title=""Tải về"">20250701--ACB--THONG-BAO-GIAO-DICH-CP-BCH-Cong-doan.pdf</a></td>
		</tr>
	</tbody>
</table>
",21300,21300,19850,22750,0,ACB
7862433,ACB: Thông báo giao dịch cổ phiếu của người nội bộ,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16373468562400700_ACB1.png,https://www.hsx.vn/vi/tin-tuc/acb-thong-bao-giao-dich-co-phieu-cua-nguoi-noi-bo/2385493,2025-07-02T17:41:00,vi,11618757,,"<p>Thông báo giao dịch cổ phiếu của người nội bộ  Ngân hàng Thương mại Cổ phần Á Châu như sau:</p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-07/2025-07-02/ACB/20250701--ACB--THONG-BAO-GIAO-DICH-NNB-TGD-cac-PTGD-va-KTT.pdf"" title=""Tải về"">20250701--ACB--THONG-BAO-GIAO-DICH-NNB-TGD-cac-PTGD-va-KTT.pdf</a></td>
		</tr>
	</tbody>
</table>
",21300,21300,19850,22750,0,ACB
7845620,ACB: Quyết định của NHNN về việc sửa đổi nội dung về vốn điều lệ tại Giấy phép thành lập và hoạt động,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16373468562400700_ACB1.png,https://www.hsx.vn/vi/tin-tuc/acb-quyet-dinh-cua-nhnn-ve-viec-sua-doi-noi-dung-ve-von-dieu-le-tai-giay-phep-thanh-lap-va-hoat-dong/2384823,2025-07-01T14:08:26,vi,11616640,,"<p>Ngân hàng Thương mại Cổ phần Á Châu công bố Quyết định của NHNN về việc sửa đổi nội dung về vốn điều lệ tại Giấy phép thành lập và hoạt động như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-07/2025-07-01/ACB/20250630--ACB--TB-thay-doi-Giay-phep.pdf"" title=""Tải về"" download>20250630--ACB--TB-thay-doi-Giay-phep.pdf</a></td></tr></table>",21300,21300,19850,22750,0,ACB
7833241,ACB: Thông báo về việc niêm yết và giao dịch cổ phiếu thay đổi niêm yết,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16373468562400700_ACB1.png,https://www.hsx.vn/vi/tin-tuc/acb-thong-bao-ve-viec-niem-yet-va-giao-dich-co-phieu-thay-doi-niem-yet/2384402,2025-06-27T18:23:00,vi,11613539,,"<p>Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo về việc niêm yết và giao dịch cổ phiếu thay đổi niêm yết của Ngân hàng Thương mại Cổ phần Á Châu như sau:</p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-06/2025-06-27/ACB/20250627--ACB--TB-vv-giao-dich-CK-thay-doi-DKNY.pdf"" title=""Tải về"">20250627--ACB--TB-vv-giao-dich-CK-thay-doi-DKNY.pdf</a></td>
		</tr>
	</tbody>
</table>
",21200,21200,19750,22650,0,ACB
7798890,ACB: Quyết định về việc thay đổi đăng ký niêm yết,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16373468562400700_ACB1.png,https://www.hsx.vn/vi/tin-tuc/acb-quyet-dinh-ve-viec-thay-doi-dang-ky-niem-yet/2383360,2025-06-24T17:31:00,vi,11608981,,"<p>Sở Giao dịch Chứng khoán TP.HCM công bố Quyết định về việc chấp thuận cho Ngân hàng Thương mại Cổ phần Á Châu được thay đổi đăng ký niêm yết với nội dung như sau:</p>

<table style=""text-align: left;border=0"" width=""100%"">
	<tbody>
		<tr>
			<td colspan=""2"">
			<hr /></td>
		</tr>
		<tr>
			<td colspan=""2"">Tài liệu đính kèm</td>
		</tr>
		<tr>
			<td> </td>
			<td><a download="""" href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-06/2025-06-24/ACB/20240625--ACB--QD-thay-doi-dang-ky-NY.pdf"" title=""Tải về"">20240625--ACB--QD-thay-doi-dang-ky-NY.pdf</a></td>
		</tr>
	</tbody>
</table>
",21300,21350,19900,22800,-0.00234192,ACB
7644135,ACB: Báo cáo kết quả phát hành cổ phiếu để trả cổ tức,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16373468562400700_ACB1.png,https://www.hsx.vn/vi/tin-tuc/acb-bao-cao-ket-qua-phat-hanh-co-phieu-de-tra-co-tuc/2378180,2025-06-02T11:27:17,vi,11591997,,"<p>Ngân hàng Thương mại Cổ phần Á Châu công bố báo cáo kết quả phát hành cổ phiếu để trả cổ tức như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-06/2025-06-02/ACB/20250529--ACB--BC-KQ-dot-phat-hanh-CP-de-tra-CT-Signed.pdf"" title=""Tải về"" download>20250529--ACB--BC-KQ-dot-phat-hanh-CP-de-tra-CT-Signed.pdf</a></td></tr></table>",21100,21100,19650,22550,0,ACB
7644120,ACB: Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 2.2025,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16373468562400700_ACB1.png,https://www.hsx.vn/vi/tin-tuc/acb-nghi-quyet-hdqt-ve-phuong-an-phat-hanh-trai-phieu-rieng-le-lan-2.2025/2378174,2025-06-02T10:45:09,vi,11591974,,"<p>Ngân hàng Thương mại Cổ phần Á Châu công bố Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 2.2025 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-06/2025-06-02/ACB/20250530--ACB--NQ-phuong-an-phat-hanh-TPRL-lan-2.2025.pdf"" title=""Tải về"" download>20250530--ACB--NQ-phuong-an-phat-hanh-TPRL-lan-2.2025.pdf</a></td></tr></table>",21100,21100,19650,22550,0,ACB
